code,course name,EOS_2021,Mid_2021,test_2021,EOS_2020,Mid_2020,test_2020,EOS_2019,Mid_2019,test_2019
CK104,Arts with Music - 3 or 4 years (BMus or Chinese/European/Int`l Pathway),339.0,485.0,yes,302.0,435.0,yes,340.0,409.0,yes
CK105,Film and Screen Media - 3 years or 4 years (International Pathway),420.0,488.0,no,319.0,418.0,no,397.0,442.0,no
CK107,Geographical and Archaeological Sciences - 3 or 4 years (Int`l Pathway),312.0,425.0,no,328.0,388.0,no,326.0,388.0,no
CK108,Arts International - 4 years,440.0,487.0,no,401.0,466.0,no,429.0,466.0,no
CK109,English - 3 years or 4 years (International Pathway),352.0,462.0,no,318.0,441.0,no,347.0,423.0,no
CK110,World Languages,488.0,522.0,no,410.0,506.0,no,456.0,506.0,no
CK111,Early Years and Childhood Studies,378.0,445.0,no,419.0,451.0,no,398.0,429.0,no
CK112,Theatre and Performative Practices - 3 or 4 years (Int`l Pathway),371.0,533.0,yes,330.0,434.0,yes,324.0,470.0,yes
CK113,Criminology - 3 years or 4 years (International Pathway),456.0,486.0,no,423.0,463.0,no,408.0,430.0,no
CK114,Social Science (Youth and Community Work),0.0,0.0,yes,777.0,0.0,yes,,0.0,yes
CK115,Social Work - Mature Applicants only,0.0,0.0,no,999.0,0.0,no,,0.0,yes
CK118,Digital Humanities and IT - 3 or 4 years (Work Exper. or Int`l Pathway),339.0,444.0,no,336.0,378.0,no,307.0,361.0,no
CK120,Applied Psychology,543.0,555.0,no,531.0,555.0,no,506.0,532.0,no
CK121,Psychology and Computing - 3 or 4 years (Work Experience Pathway),478.0,522.0,no,466.0,496.0,no,393.0,466.0,no
CK122,Government and Political Science,397.0,465.0,no,326.0,403.0,no,355.0,410.0,no
CK123,Anthropology,308.0,429.0,no,308.0,410.0,no,,,
CK124,Education - Gaeilge,473.0,522.0,no,452.0,495.0,no,,,
CK125,Sports Studies and Physical Education,555.0,589.0,no,509.0,532.0,no,,,
CK201,Commerce,499.0,532.0,no,477.0,509.0,no,465.0,489.0,no
CK202,Accounting,532.0,566.0,no,509.0,542.0,no,467.0,506.0,no
CK203,Business Information Systems,445.0,490.0,no,430.0,467.0,no,409.0,444.0,no
CK204,Finance,566.0,601.0,no,556.0,590.0,no,531.0,555.0,no
CK205,Commerce (International) with French,462.0,522.0,no,445.0,495.0,no,409.0,473.0,no
CK206,Commerce (International) with German,455.0,521.0,no,418.0,476.0,no,408.0,446.0,no
CK207,Commerce (International) with Italian,418.0,441.0,no,388.0,455.0,no,408.0,425.0,no
CK208,Commerce (International) with Hispanic Studies,477.0,528.0,no,402.0,484.0,no,431.0,455.0,no
